text,img,aspect,label
Uncle Tetsu opening cheesecake factory under the nearby Toronto Coach Terminal via @ blogto,493590.jpg,Uncle Tetsu,1
Uncle Tetsu opening cheesecake factory under the nearby Toronto Coach Terminal via @ blogto,493590.jpg,Toronto Coach Terminal,1
"RT @ faridalvie : The cover of The Illustrated Weekly of India . . . February 1 , 1981 @ mosharrafzaidi @ Razarumi @ umairjav @ mohammedhanif http . . .",117533.jpg,The,1
"RT @ faridalvie : The cover of The Illustrated Weekly of India . . . February 1 , 1981 @ mosharrafzaidi @ Razarumi @ umairjav @ mohammedhanif http . . .",117533.jpg,The Illustrated Weekly of India,1
having it after amlost two years . . took me back to my chennai college memories . . # tandoori # punjabifood # india # loveit,8778.jpg,chennai college,2
having it after amlost two years . . took me back to my chennai college memories . . # tandoori # punjabifood # india # loveit,8778.jpg,# tandoori,2
having it after amlost two years . . took me back to my chennai college memories . . # tandoori # punjabifood # india # loveit,8778.jpg,# india,2
RT @ SLAMonline : . @ DukeBluePlanet Lands Five - Star Wing Jayson Tatum,534872.jpg,Jayson Tatum,2
RT @ VeroBelieber21 : JUSTIN LOOKS SO PERFECT .,130609.jpg,JUSTIN,2
"St . Athanasius , Pray for us . May we always grow in knowledge amp love of our Lord , Jesus . # Catholic # CatholicSTL",1286081.jpg,Jesus,2
"St . Athanasius , Pray for us . May we always grow in knowledge amp love of our Lord , Jesus . # Catholic # CatholicSTL",1286081.jpg,# Catholic,2
RT @ SportsCenter : BREAKING : Cavs PG Kyrie Irving will miss rest of NBA Finals with a fractured left kneecap .,636009.jpg,Cavs,0
RT @ SportsCenter : BREAKING : Cavs PG Kyrie Irving will miss rest of NBA Finals with a fractured left kneecap .,636009.jpg,NBA Finals,1
2011 . One of fave # TCMFF s . Debbie Reynolds signed pass To Debbie # . Said the # sign meant too b c of my name .,93460.jpg,Debbie Reynolds,1
2011 . One of fave # TCMFF s . Debbie Reynolds signed pass To Debbie # . Said the # sign meant too b c of my name .,93460.jpg,Debbie,1
Diplomas are going out to 25 new # knowmads in Holland !,7491.jpg,Holland,1
Chicago kind of night in Austin last night ! Greatest live band on earth . # PJACL2014,46536.jpg,Chicago,1
Chicago kind of night in Austin last night ! Greatest live band on earth . # PJACL2014,46536.jpg,Austin,1
Incredible Shattered CD Art by Sean Avery -,1063886.jpg,Shattered CD Art,2
Incredible Shattered CD Art by Sean Avery -,1063886.jpg,Sean Avery,2
@ QCWirelessReach @ bymichellelyn enroute to Guangzhou on the high speed express through train . # newadventures,1011219.jpg,Guangzhou,2
Obligatory shot of the Gaffney Prachbutt ! Now w new paint amp leaf ! # fb,636155.jpg,Gaffney,2
Obligatory shot of the Gaffney Prachbutt ! Now w new paint amp leaf ! # fb,636155.jpg,# fb,1
RT @ dbrauer : Hear this will be at multiple Minneapolis high schools # ferguson @ the towle : South High sit in,7333.jpg,Minneapolis high schools,1
RT @ dbrauer : Hear this will be at multiple Minneapolis high schools # ferguson @ the towle : South High sit in,7333.jpg,# ferguson,1
RT @ dbrauer : Hear this will be at multiple Minneapolis high schools # ferguson @ the towle : South High sit in,7333.jpg,South High,1
RT @ MYBUCKETLlST : Beautiful Arctic River .,2058152.jpg,Arctic River,2
"RT @ Agridome : Loading # corn for export , Wallaceburg # Ontario . . . . in the 1980s . # retrophoto",126215.jpg,Wallaceburg,1
"RT @ Agridome : Loading # corn for export , Wallaceburg # Ontario . . . . in the 1980s . # retrophoto",126215.jpg,# Ontario,1
RT @ SWIM DEEP : Happy birthday zack ! The astronaut of rhythm,65276.jpg,zack,2
Great questions from the students at the National Latino Education Institute this morning !,820543.jpg,National Latino Education Institute,2
Thirsty Thursday tomorrow we have 3 Sherries amp 3 Brandies for sampling . All from Spain . 4 - 7pm .,378072.jpg,Sherries,1
Thirsty Thursday tomorrow we have 3 Sherries amp 3 Brandies for sampling . All from Spain . 4 - 7pm .,378072.jpg,Brandies,1
Thirsty Thursday tomorrow we have 3 Sherries amp 3 Brandies for sampling . All from Spain . 4 - 7pm .,378072.jpg,Spain,1
RT @ travelwith2ofus : @ CaribbeJan @ YourConcierge @ FlySeaborne Nice . Love it . Sweet # Caribbean Many choices . # travel,527160.jpg,# Caribbean,2
RT @ tweetsonurface : I miss Tate Langdon # AmericanHorrorStory,254266.jpg,Tate Langdon,2
"RT @ MLB : Once again , your 2014 # ASG starting lineups .",1346126.jpg,# ASG,1
"RT @ 1DAlert : The boys on stage in Buenos Aires , Argentina last night ! ( 3 5 14 ) # 33",548.jpg,Buenos Aires,1
"RT @ 1DAlert : The boys on stage in Buenos Aires , Argentina last night ! ( 3 5 14 ) # 33",548.jpg,Argentina,1
RT @ mjesusgz : Peaceful Afternoon by Arthur Claude Strachan - # pintura # art # artwit # twitart # fineart # strachan # painting,64467.jpg,Arthur Claude Strachan,1
RT @ MTVUK : Amazing ! Stan Lee suggests a standalone Black Widow movie WILL happen . . .,401826.jpg,Stan Lee,2
RT @ MTVUK : Amazing ! Stan Lee suggests a standalone Black Widow movie WILL happen . . .,401826.jpg,Black Widow,2
RT @ WNTonight : Hillary Clinton says Joe Biden could be a good president .,1304513.jpg,Hillary Clinton,1
RT @ WNTonight : Hillary Clinton says Joe Biden could be a good president .,1304513.jpg,Joe Biden,2
RT @ LowKei : When Bey said and thank you to my Bey Hive at the Grammys .,37810.jpg,Bey,1
RT @ LowKei : When Bey said and thank you to my Bey Hive at the Grammys .,37810.jpg,Bey,2
RT @ LowKei : When Bey said and thank you to my Bey Hive at the Grammys .,37810.jpg,Grammys,1
"RT @ pcgamer : Gameplay footage of Mutant Football League , a murderous take on NFL Blitz",889765.jpg,Mutant Football League,1
"RT @ pcgamer : Gameplay footage of Mutant Football League , a murderous take on NFL Blitz",889765.jpg,NFL Blitz,0
RT @ BostonGlobe : A braille trail in Essex County opens the woods for blind hikers,1131367.jpg,Essex County,1
RT @ sehlinger3 : # UTL,479236.jpg,# UTL,1
How do we feel about Alabama using the Freedom March as a tourist draw ? Serious question .,7399.jpg,Alabama,1
How do we feel about Alabama using the Freedom March as a tourist draw ? Serious question .,7399.jpg,Freedom March,1
"RT @ GoogleFacts : Baby elephant is playing on the beach for the first time in his life , Sri Lanka",24251.jpg,Sri Lanka,1
RT @ firstpost : ED decides to close National Herald case citing technical reasons : CNN IBN,853559.jpg,ED,1
RT @ firstpost : ED decides to close National Herald case citing technical reasons : CNN IBN,853559.jpg,National Herald,0
RT @ firstpost : ED decides to close National Herald case citing technical reasons : CNN IBN,853559.jpg,CNN,1
RT @ firstpost : ED decides to close National Herald case citing technical reasons : CNN IBN,853559.jpg,IBN,1
Possibly my last University Orchestra concert at SBU ! ! ! XD,1855943.jpg,SBU,2
RT @ Spy Stations : Russians staff a comms center on the top floor of Donetsk apartment building w new arrays on roof,1766059.jpg,Donetsk,1
RT @ B Kissinger : How Instagram was started . Very cool,416790.jpg,Instagram,2
3 ways to leverage the EMC Federation Enterprise # HybridCloud to modernize apps : # EMCWORLD,110876.jpg,EMC Federation Enterprise,1
Niagara Falls,70382.jpg,Niagara Falls,1
We are now seeing shoes of civilian police at Odin Lloyd crime scene after Lloyd murder as Prosecution excludes them,42101.jpg,Odin,1
We are now seeing shoes of civilian police at Odin Lloyd crime scene after Lloyd murder as Prosecution excludes them,42101.jpg,Lloyd,1
We are now seeing shoes of civilian police at Odin Lloyd crime scene after Lloyd murder as Prosecution excludes them,42101.jpg,Lloyd,0
RT @ markbland : BREAKING : Police warning to peacefully protest or else . # FergusonTaughtMe # Ferguson,1314515.jpg,# Ferguson,1
Oh Skymall . . . You make air travel so much better,711521.jpg,Skymall,2
The # ToyotaWomen get to try on a fire suit at Michael Waltrip Racing . @ MWRteam,141365.jpg,Michael Waltrip Racing,1
RT @ Claritas : Dream job ? The hottest career in America is compliance officer,70206.jpg,America,1
RT @ DSMEP : Visit DSM at # NPE2015 ! Register for free !,1086050.jpg,DSM,2
RT @ ahencyclopedia : Breaking news : Palmyra has fallen to ISIS .,858471.jpg,Palmyra,0
RT @ ahencyclopedia : Breaking news : Palmyra has fallen to ISIS .,858471.jpg,ISIS,0
RT @ NewNatTurner : # NathanEner Showed Up At # BlackLivesMatter in Texas . He Was Not Ready For Quanel X !,37016.jpg,Texas,1
RT @ NewNatTurner : # NathanEner Showed Up At # BlackLivesMatter in Texas . He Was Not Ready For Quanel X !,37016.jpg,Quanel X,1
Reading Rambo .,31922.jpg,Reading Rambo,1
Great artist amp mind @ verge : Jack White rolls three videos into one for new interactive single,46234.jpg,Jack White,1
Structure fire on Franklin under control . Residents not home . 2 dogs rescued .,1331611.jpg,Franklin,0
Elan gets lucky on his # barmitzvah weekend with his new friend Firefly # fb,223560.jpg,Elan,2
Elan gets lucky on his # barmitzvah weekend with his new friend Firefly # fb,223560.jpg,Firefly,2
Elan gets lucky on his # barmitzvah weekend with his new friend Firefly # fb,223560.jpg,# fb,1
RT @ FreeArturo2 : Stand w @ action4IFAW Tell Zimbabwe Exporting Wild # elephants is WRONG # SaveAfricanAnimals http,70522.jpg,Zimbabwe,1
News : Rio 2016 celebrates # 500daystogo until the Paralympic Games with flash mob in Copacabana,678516.jpg,Rio,1
News : Rio 2016 celebrates # 500daystogo until the Paralympic Games with flash mob in Copacabana,678516.jpg,Copacabana,1
Let the miners in on the Ajax discussion - KEG should be at Community Advisory Group table .,628229.jpg,Ajax,1
Let the miners in on the Ajax discussion - KEG should be at Community Advisory Group table .,628229.jpg,Community Advisory Group,1
RT @ NZStuff : Hurricanes honour Jerry Collins with big 56 - 20 win over Highlanders in Napier,62720.jpg,Hurricanes,2
RT @ NZStuff : Hurricanes honour Jerry Collins with big 56 - 20 win over Highlanders in Napier,62720.jpg,Jerry Collins,2
RT @ NZStuff : Hurricanes honour Jerry Collins with big 56 - 20 win over Highlanders in Napier,62720.jpg,Highlanders,1
RT @ NZStuff : Hurricanes honour Jerry Collins with big 56 - 20 win over Highlanders in Napier,62720.jpg,Napier,1
Stuart Wheeler tells @ MichaelLCrick that @ DouglasCarswell is obvious person to succeed Nigel Farage,673571.jpg,Stuart Wheeler,1
Stuart Wheeler tells @ MichaelLCrick that @ DouglasCarswell is obvious person to succeed Nigel Farage,673571.jpg,Nigel Farage,1
Blood drive update : Amanda had EXACTLY enough donors for the scholarship . Thank you everyone !,1739563.jpg,Blood drive,1
Blood drive update : Amanda had EXACTLY enough donors for the scholarship . Thank you everyone !,1739563.jpg,Amanda,2
How To Conduct Your Own Google Ventures # Design Sprint via @ fastcodesign,116738.jpg,Google Ventures,1
Pretty sunset from Mountain View tonight # lakesidecafe # nofilter,416646.jpg,Mountain View,2
The @ NU Sports women ' s basketball team celebrates their first NCAA bid since 1997 . They head to Waco with a # 7 seed,71483.jpg,NCAA,1
The @ NU Sports women ' s basketball team celebrates their first NCAA bid since 1997 . They head to Waco with a # 7 seed,71483.jpg,Waco,1
RT @ extratv : Modern Family star Jesse Tyler Ferguson digs deep into his family roots .,1078506.jpg,Modern Family,1
RT @ extratv : Modern Family star Jesse Tyler Ferguson digs deep into his family roots .,1078506.jpg,Jesse Tyler Ferguson,2
The public process for IndyCar # Boston is underway .,33240.jpg,IndyCar,1
The public process for IndyCar # Boston is underway .,33240.jpg,# Boston,1
"RT @ ZejnaY : Young girl barely makes it across the border between East and West Berlin , 1955",33539.jpg,West Berlin,1
Ben Smith scores for a 2 - 0 # Blackhawks lead over the # Kings in the 2nd . Photos :,73859.jpg,Ben Smith,2
Ben Smith scores for a 2 - 0 # Blackhawks lead over the # Kings in the 2nd . Photos :,73859.jpg,# Blackhawks,2
@ ABQJournal worked on a story about photographers at the Bosque Del Apache # NM @ ricknathanson,1114143.jpg,Bosque Del Apache,1
RT @ redeyechicago : . @ SUBWAY is suspending their relationship with Jared . Story :,1451395.jpg,Jared,0
"The # BundleOfJoy baby is cute , but Eddie and Debbie sure had cute ones of their own . Carrie amp Todd . # tcmparty",93985.jpg,Eddie,1
"The # BundleOfJoy baby is cute , but Eddie and Debbie sure had cute ones of their own . Carrie amp Todd . # tcmparty",93985.jpg,Debbie,1
"The # BundleOfJoy baby is cute , but Eddie and Debbie sure had cute ones of their own . Carrie amp Todd . # tcmparty",93985.jpg,Carrie,2
"The # BundleOfJoy baby is cute , but Eddie and Debbie sure had cute ones of their own . Carrie amp Todd . # tcmparty",93985.jpg,Todd,2
"Incoming : Tulsa photog made a sweet wide - angle frame , then receiver broke his 400 2 . 8 in half",72825.jpg,Tulsa,2
RT @ LutonTheatre : RT @ FullHouseTheaCo : Tiny Tim learning his lines ! @ LutonTheatre # scrooge # Luton # lutontown,665163.jpg,Tiny Tim,1
RT @ LutonTheatre : RT @ FullHouseTheaCo : Tiny Tim learning his lines ! @ LutonTheatre # scrooge # Luton # lutontown,665163.jpg,# scrooge,1
RT @ LutonTheatre : RT @ FullHouseTheaCo : Tiny Tim learning his lines ! @ LutonTheatre # scrooge # Luton # lutontown,665163.jpg,# Luton,1
Hirschfeld sure did have a way with pen amp ink and black amp white . Those NINAS are a fun treat to find .,717741.jpg,Hirschfeld,1
Peace out LA ! # vacationtime,233374.jpg,LA,2
RT @ CNNMoney : Quentin Tarantino has filed a suit against Gawker . via @ gregorywallace,725064.jpg,Quentin Tarantino,1
RT @ CNNMoney : Quentin Tarantino has filed a suit against Gawker . via @ gregorywallace,725064.jpg,Gawker,1
And here he is as Clark Kent . . . .,153305.jpg,Clark Kent,2
Nothing in the world has as much power as a word . Sometimes I # write one and look at it until it shines . Dickinson,735733.jpg,Dickinson,1
Colombia - What will happen next if gay marriage bill not approved ? MORE : # lgbt,179127.jpg,Colombia,0
RT @ SDLaborCouncil : San Diego @ MachinistsUnion standing in solidarity today with nurses outside @ RepSusanDavis office to # StopFastTrack htt,71244.jpg,San Diego,0
# BREAKING WB Indian School Road is closed at 32nd Street due to an accident . Use Thomas or Camelback instead .,593197.jpg,WB Indian School Road,0
# BREAKING WB Indian School Road is closed at 32nd Street due to an accident . Use Thomas or Camelback instead .,593197.jpg,32nd Street,1
# BREAKING WB Indian School Road is closed at 32nd Street due to an accident . Use Thomas or Camelback instead .,593197.jpg,Camelback,1
"Beautiful walk to work at CHUK hospital this morning in Kigali , Rwanda . Beats London rush hour commute ! @ SaferSurgery",1019833.jpg,CHUK,2
"Beautiful walk to work at CHUK hospital this morning in Kigali , Rwanda . Beats London rush hour commute ! @ SaferSurgery",1019833.jpg,Kigali,2
"Beautiful walk to work at CHUK hospital this morning in Kigali , Rwanda . Beats London rush hour commute ! @ SaferSurgery",1019833.jpg,Rwanda,2
"Beautiful walk to work at CHUK hospital this morning in Kigali , Rwanda . Beats London rush hour commute ! @ SaferSurgery",1019833.jpg,London,0
RT @ fwd : Tim Cook on the Apple Watch # AppleLive,736935.jpg,Tim Cook,1
Everyone ready to start ghost hunting at Combe Gibbet ! !,1084260.jpg,Combe Gibbet,2
RT @ SyriaCivilDef : One of the many celebrations in the center of Idlib yesterday .,768469.jpg,Idlib,1
RT @ DannyEcker : Renderings of the new plan for Wrigley ' s outfield . 7 signs total including 2 video boards :,73840.jpg,Wrigley,1
RT @ WOWFoodPics : Krispy Kreme doughnut ice cream sandwich .,1016082.jpg,Krispy Kreme,1
"Johor Laksa , some say the best in Malaysia . # MyFest2015 # MalaysiaTrulyAsia # Johor # food # ttot",414619.jpg,Johor Laksa,2
"Johor Laksa , some say the best in Malaysia . # MyFest2015 # MalaysiaTrulyAsia # Johor # food # ttot",414619.jpg,Malaysia,1
"Johor Laksa , some say the best in Malaysia . # MyFest2015 # MalaysiaTrulyAsia # Johor # food # ttot",414619.jpg,# Johor,2
Inland Steel Building lobby,72516.jpg,Inland Steel Building,1
RT @ HuffingtonPost : Reality show lifts women farmers out of poverty in Tanzania,1065962.jpg,Tanzania,1
"In the university town Be ' er Sheva for a couple days , home to Ben Gurion University of the Negev",73763.jpg,Ben Gurion University of the Negev,1
RT @ EW : Peter Capaldi prepares to meet an old enemy in new # DoctorWho season prologue :,878481.jpg,Peter Capaldi,1
RT @ alphabetsuccess : In Living Color by Pena Salehi https : t . co lRHsQF68In,282116.jpg,Pena Salehi,1
The @ PredsFoundation made a special delivery to Barefoot Republic this week - - gt # Preds,506804.jpg,Barefoot Republic,1
The @ PredsFoundation made a special delivery to Barefoot Republic this week - - gt # Preds,506804.jpg,# Preds,2
RT @ HuffingtonPost : Siesta Beach named best beach in the United States,301966.jpg,Siesta Beach,2
RT @ HuffingtonPost : Siesta Beach named best beach in the United States,301966.jpg,United States,1
"RT @ OffshoreME : Launched in 2013 , @ TechnipGroup ' s Deep Energy is one of the fastest , largest , and highest capability pipelay vessels http :",73441.jpg,Deep Energy,2
"RT @ dr morton : Much like Carl Sagan , I believe in Magic . . . Have an # AWESOME Day ! - )",399190.jpg,Carl Sagan,2
Stuart in gallery with one of my paintings on back wall from # medea series go for gallery info,334480.jpg,Stuart,1
RT @ VICE : This woman led the Latin Kings and lived # OITNB in real life :,511703.jpg,Latin Kings,1
RT @ VICE : This woman led the Latin Kings and lived # OITNB in real life :,511703.jpg,# OITNB,1
"RT @ KentState : Happy 3rd birthday to # KentState ' s Police Services ' first police dog , Coco ! Read about Coco :",72982.jpg,Coco,2
"RT @ KentState : Happy 3rd birthday to # KentState ' s Police Services ' first police dog , Coco ! Read about Coco :",72982.jpg,Coco,1
Chicago nights in the sky . Summer forever,70560.jpg,Chicago,2
RT @ Kennywood PR : Most amazing wall in Pittsburgh @ butcherntherye,1913874.jpg,Pittsburgh,2
RT @ laurenchurcher : cheeky game of table tennis in Brighton !,1798390.jpg,Brighton,1
RT @ SoccerrProblems : Messi stays winning,108966.jpg,Messi,2
I just read the article Balotelli hungry for more after . . . using the Official UEFA EURO 2012 app,128357.jpg,Balotelli,2
I just read the article Balotelli hungry for more after . . . using the Official UEFA EURO 2012 app,128357.jpg,UEFA,1
RT @ MelbourneGA : Hard at work through the eyes of our UXDI student @ Moniquearonica # lifeatGA,125027.jpg,UXDI,1
RT @ PDChina : Over 800 Students at a high school in Henan took their final exam on June 3 at poplar woods on campus,33643.jpg,Henan,1
"RT @ rappersaid : When Megan from Drake and Josh said , well why was ur door under my bucket",514053.jpg,Megan,1
"RT @ rappersaid : When Megan from Drake and Josh said , well why was ur door under my bucket",514053.jpg,Drake,1
"RT @ rappersaid : When Megan from Drake and Josh said , well why was ur door under my bucket",514053.jpg,Josh,1
Details on our newly announced Federation Business Data Lake Solution :,111254.jpg,Federation Business Data Lake Solution,1
"RT @ MajorCrimesTNT : Happy birthday , @ grahamPmartin ! RT and give Rusty a birthday shout - out !",134865.jpg,Rusty,2
Good times at JFK # CNYJFK RT @ KristySmorol : Look who I ran into on my early morning flight to NYC . @ BrandonRothCNY,1107891.jpg,JFK,2
Good times at JFK # CNYJFK RT @ KristySmorol : Look who I ran into on my early morning flight to NYC . @ BrandonRothCNY,1107891.jpg,NYC,1
The 12 top events to check out during Panamania : via @ torontodotcom,493777.jpg,Panamania,1
"RT @ VeryOldPics : Beatles , 1962 amp 1969",31763.jpg,Beatles,1
Occupational hazard : Linesman Derek Amell takes a hit as he breaks up Oduya and Brown . Photos :,70899.jpg,Linesman Derek Amell,0
Occupational hazard : Linesman Derek Amell takes a hit as he breaks up Oduya and Brown . Photos :,70899.jpg,Oduya,0
Occupational hazard : Linesman Derek Amell takes a hit as he breaks up Oduya and Brown . Photos :,70899.jpg,Brown,0
"RT @ MahaveerM : Pak is Home 2 All Terrorists , Houses Them amp Gives THEM VIP treatment # ProudOfRAW",797970.jpg,Pak,2
Saw Amazing views and combatted fears of heights from the top of the Eiffel Tower on a tour with @ citywonderstours,483242.jpg,Eiffel Tower,2
RT @ ComplexPop : Actor David Hasselhoff turns 63 today .,20631.jpg,David Hasselhoff,1
RT @ uoklasports : 17 Days Until Jukes # CountdowntoKickoff,74555.jpg,Jukes,1
RT @ MustangKings : How many will retweet for Paul Walker,1928637.jpg,Paul Walker,2
Peace out Germany # USA,74249.jpg,Germany,2
Peace out Germany # USA,74249.jpg,# USA,2
"RT @ EarthPix : Misson Beach , Queensland , Australia By Matt Glastonbury",1014176.jpg,Misson Beach,1
"RT @ EarthPix : Misson Beach , Queensland , Australia By Matt Glastonbury",1014176.jpg,Queensland,1
"RT @ EarthPix : Misson Beach , Queensland , Australia By Matt Glastonbury",1014176.jpg,Australia,1
"RT @ EarthPix : Misson Beach , Queensland , Australia By Matt Glastonbury",1014176.jpg,Matt Glastonbury,1
RT @ CBSSports : David Blatt has a new gameplan that can ' t miss . . .,62651.jpg,David Blatt,0
RT @ TelegraphNews : Jamie Oliver snaps up new multi - million pound mansion in Hampstead,995927.jpg,Jamie Oliver,1
RT @ TelegraphNews : Jamie Oliver snaps up new multi - million pound mansion in Hampstead,995927.jpg,Hampstead,1
"RT @ chicagotribune : Sign points to Emanuel , Trump faceoff . ' The mayor thinks the sign is awful ' @ BlairKamin reports h",73798.jpg,Emanuel,0
"RT @ chicagotribune : Sign points to Emanuel , Trump faceoff . ' The mayor thinks the sign is awful ' @ BlairKamin reports h",73798.jpg,Trump,0
"RT @ wkyc : Akron : Police , humane officers raid dog - fighting ring via @ WKYC",128094.jpg,Akron,1
RT @ ThislsAmazing : Woodstock,35327.jpg,Woodstock,2
RT @ EntrepreneurQ : Managing by trying to be liked is the path to ruin Dick Costolo,66042.jpg,Dick Costolo,1
RT @ ianbremmer : Still Looking for Putin,302030.jpg,Putin,0
RT @ BeUpHarryStyles : RT if you love Liam Payne Follow me i follow back,1485776.jpg,Liam Payne,2
RT @ skift : The Evolution of Anthony Bourdain ' s @ PartsUnknownCNN,74576.jpg,Anthony Bourdain,1
"RT @ SportsCenter : Have a 3rd quarter , Klay Thompson . Thompson scores 37 of the Warriors 41 points in the 3rd quarter .",1866671.jpg,Klay,2
"RT @ SportsCenter : Have a 3rd quarter , Klay Thompson . Thompson scores 37 of the Warriors 41 points in the 3rd quarter .",1866671.jpg,Thompson,2
"RT @ SportsCenter : Have a 3rd quarter , Klay Thompson . Thompson scores 37 of the Warriors 41 points in the 3rd quarter .",1866671.jpg,Thompson,2
"RT @ Cmdr Hadfield : Mexico City , one of the largest metropolitan areas on Earth - housing roughly the same population as Australia . http : . . .",1813464.jpg,Mexico City,1
"RT @ Cmdr Hadfield : Mexico City , one of the largest metropolitan areas on Earth - housing roughly the same population as Australia . http : . . .",1813464.jpg,Australia,1
To read well is an act of dynamic receptivity that creates a profound exchange . Mary Gaitskill # amwriting # writing,736811.jpg,Mary Gaitskill,1
"RT @ MakingOfs : Harold Ramis on set with Annie Potts while filming Ghostbusters , circa 1983",161569.jpg,Harold Ramis,2
"RT @ MakingOfs : Harold Ramis on set with Annie Potts while filming Ghostbusters , circa 1983",161569.jpg,Annie Potts,2
"RT @ MakingOfs : Harold Ramis on set with Annie Potts while filming Ghostbusters , circa 1983",161569.jpg,Ghostbusters,1
Mario Balotelli has this message for Liverpool fans after difficult season .,407410.jpg,Mario Balotelli,0
Mario Balotelli has this message for Liverpool fans after difficult season .,407410.jpg,Liverpool,1
RT @ geertwilderspvv : No more islam - from Pakistan to The Netherlands ! # nomoreislam,517356.jpg,Pakistan,1
RT @ geertwilderspvv : No more islam - from Pakistan to The Netherlands ! # nomoreislam,517356.jpg,Netherlands,1
RT @ NiallOfficial : Look what I now have for tour ! Big love to Tortex for making them for me,1132231.jpg,Tortex,2
RT @ SlyDude3677 : Elizabeth Warren on the Supreme Court . . . . . # uniteblue # tcot # scotus # warren,1007628.jpg,Elizabeth Warren,1
RT @ SlyDude3677 : Elizabeth Warren on the Supreme Court . . . . . # uniteblue # tcot # scotus # warren,1007628.jpg,Supreme Court,1
RT @ SlyDude3677 : Elizabeth Warren on the Supreme Court . . . . . # uniteblue # tcot # scotus # warren,1007628.jpg,# scotus # warren,1
RT @ dreamteamfc : Still coming to terms with the fact that Charlie Adam and Ibrahim Afellay are both 29 .,90019.jpg,Charlie Adam,1
RT @ dreamteamfc : Still coming to terms with the fact that Charlie Adam and Ibrahim Afellay are both 29 .,90019.jpg,Ibrahim Afellay,1
RT @ Bipartisanism : Bill Clinton and Barack Obama are the only two presidents in 50 years to reduce the deficit . # tcot,67345.jpg,Bill Clinton,2
RT @ Bipartisanism : Bill Clinton and Barack Obama are the only two presidents in 50 years to reduce the deficit . # tcot,67345.jpg,Barack Obama,2
RT @ oldpicsarchive : Louis Armstrong plays for his wife in Giza ( 1961 ),675016.jpg,Louis Armstrong,1
RT @ oldpicsarchive : Louis Armstrong plays for his wife in Giza ( 1961 ),675016.jpg,Giza,1
RT @ Goon Aaron : Paul walker would be happy if this happened in fast 7,32490.jpg,Paul walker,1
RT @ Goon Aaron : Paul walker would be happy if this happened in fast 7,32490.jpg,fast 7,1
Meet Lisa Nichols tomorrow at the next @ ewomennetwork NYC event ! https : t . co GWovTFggbP,1402345.jpg,Lisa Nichols,2
Meet Lisa Nichols tomorrow at the next @ ewomennetwork NYC event ! https : t . co GWovTFggbP,1402345.jpg,NYC,1
Good morning from Az !,503468.jpg,Az,2
RT @ DrEdwardG : Lonely boat by Peter Zajfrid,1319942.jpg,Peter Zajfrid,1
RT @ ADPS911 : . @ Medic PipeBand entertain the PCC gala attendees before dinner . # PCCconf,1134147.jpg,PCC,1
RT @ hahnsmith : Minnie enjoying his first morning at the lake .,1311544.jpg,Minnie,2
RT @ Esthermccarthy : The new UK landscape is starting to look a lot like Maggie Simpson # GE2015,34879.jpg,UK,1
RT @ Esthermccarthy : The new UK landscape is starting to look a lot like Maggie Simpson # GE2015,34879.jpg,Maggie Simpson,1
RT @ EAMaddenNFL : GRONK SPIKE # INDvsNE,1073787.jpg,GRONK,1
"RT @ WW 1Dupdates : the boys on stage tonight in Oslo , Norway ! # 11",1945544.jpg,Oslo,1
"RT @ WW 1Dupdates : the boys on stage tonight in Oslo , Norway ! # 11",1945544.jpg,Norway,1
RT @ Aldy 47 : My Little big sis on the box doing makeup on Jason Gardiner on the show work experience . @ aldridgeMUA # greatMUA . . .,1042724.jpg,Jason Gardiner,1
RT @ coolestpicshq : New York City Skyline Evolution,544997.jpg,New York,1
"A Beautiful Girl does Teh Tarik , hope this happens in # MalaysiaTrulyAsia one day too . # MyFest2015 # food # ttot",414117.jpg,Teh Tarik,1
BBC versions of @ GordonRamsay shows are so much better than the Fox ones . # bloddywelldone,122619.jpg,BBC,2
BBC versions of @ GordonRamsay shows are so much better than the Fox ones . # bloddywelldone,122619.jpg,Fox,0
"RT @ BBCNewsAsia : Journalists in # Afghanistan pay tribute to Sardar Ahmad , AFP reporter killed in Taliban attack http",74581.jpg,# Afghanistan,1
"RT @ BBCNewsAsia : Journalists in # Afghanistan pay tribute to Sardar Ahmad , AFP reporter killed in Taliban attack http",74581.jpg,Sardar Ahmad,0
"RT @ BBCNewsAsia : Journalists in # Afghanistan pay tribute to Sardar Ahmad , AFP reporter killed in Taliban attack http",74581.jpg,Taliban,0
RT @ TheStalwart : THE UNITED KINGDOM SURVIVES,128777.jpg,UNITED KINGDOM,2
RT @ Recode : Hewlett - Packard formally files plan to split up by @ ahess247,127557.jpg,Hewlett - Packard,0
RT @ BusbyBulletin : Tom Thorpe with a classy message to the fans to thank them for their support . Second to last line is brilliant . # MUFC ht,62671.jpg,Tom Thorpe,2
RT @ BusbyBulletin : Tom Thorpe with a classy message to the fans to thank them for their support . Second to last line is brilliant . # MUFC ht,62671.jpg,# MUFC,2
"I don ' t think there ' s much of a wait for a gate in Bangor , Maine",73432.jpg,Bangor,1
"I don ' t think there ' s much of a wait for a gate in Bangor , Maine",73432.jpg,Maine,1
Anyone know what this bush with the red berries is ? In Austin .,1813380.jpg,Austin,1
RT @ ThirtySecFights : Baltimore looks wild,969856.jpg,Baltimore,0
RT @ GoRogerFederer : Goodbye Paris . . . # FedererTwins,15835.jpg,Paris,1
